Symbol,Company Name,Industry,Market Cap
LAIX,LAIX Inc.,Diversified Consumer Services,40.88M
LAKE,Lakeland Industries,"Textiles, Apparel &amp; Luxury Goods",149.79M
LAMR,Lamar Advertising Company,"Equity Real Estate 
Investment Trusts...",10.78B
LANC,Lancaster Colony,Food Products,4.06B
LAND,Gladstone Land,"Equity Real Estate 
Investment Trusts...",994.83M
LARK,Landmark Bancorp,Banks,142.44M
LASR,nLIGHT,"Electronic Equipment, Instruments &amp; C...",1.07B
LAUR,Laureate Education,Diversified Consumer Services,1.77B
LAW,CS Disco,Software-Application,2.00B
LAWS,Lawson Products,Trading Companies &amp; Distributors,425.14M
LAZ,Lazard,Capital Markets,4.36B
LAZR,Luminar Technologies,Software-Application,5.68B
LAZY,Lazydays Holdings,Specialty Retail,228.12M
LBAI,Lakeland Bancorp,Banks,904.34M
LBC,Luther Burbank,Thrifts &amp; Mortgage Finance,724.15M
LBPH,Longboard Pharmaceuticals,Biotechnology,95.55M
LBPS,4D pharma,Biotechnology,141.09M
LBRDA,Liberty Broadband,Media,26.70B
LBRDK,Liberty Broadband,Media,26.67B
LBRT,Liberty Oilfield Services,Energy Equipment &amp; Services,1.63B
LBTYA,Liberty Global,Media,14.46B
LBTYB,Liberty Global,Diversified Telecommunication Services,14.43B
LBTYK,Liberty Global,Media,14.46B
LC,LendingClub,Consumer Finance,3.08B
LCA,Landcadia Holdings IV,Blank Check / SPAC,614.37M
LCAA,L Catterton Asia Acquisition,Blank Check / SPAC,349.54M
LCAP,Lionheart Acquisition II,Blank Check / SPAC,292.82M
LCI,Lannett Company,Pharmaceuticals,71.82M
LCID,Lucid Group,Auto Manufacturers,84.20B
LCII,LCI Industries,Auto Components,3.88B
LCNB,LCNB Corporation,Banks,272.37M
LCTX,Lineage Cell Therapeutics,Biotechnology,347.23M
LCUT,Lifetime Brands,Household Durables,353.17M
LDHA,LDH Growth I,Blank Check / SPAC,281.75M
LDI,loanDepot,Mortgage Finance,1.42B
LDOS,Leidos Holdings,IT Services,12.27B
LE,Lands' End,Internet &amp; Direct Marketing Retail,723.60M
LEA,Lear Corporation,Auto Components,10.12B
LEAP,Ribbit LEAP,Shell Companies,472.36M
LECO,Lincoln Electric Holdings,Machinery,7.80B
LEDS,SemiLEDs,Semiconductors &amp; Semiconductor Equipment,26.62M
LEE,"Lee Enterprises,",Media,142.93M
LEG,Leggett &amp; Platt,Household Durables,5.41B
LEGA,"Lead Edge Growth Opportunities,",Blank Check / SPAC,422.19M
LEGH,Legacy Housing,Household Durables,609.36M
LEGN,Legend Biotech,Biotechnology,7.21B
LEJU,Leju Holdings,Internet &amp; Direct Marketing Retail,140.93M
LEN,Lennar,Household Durables,32.85B
LEN.B,Lennar,Construction &amp; Engineering,32.91B
LESL,Leslie's,Home Improvement Retail,3.83B
LEU,Centrus Energy,"Oil, Gas &amp; Consumable Fuels",754.13M
LEV,The Lion Electric Company,Farm &amp; Heavy Construction Machinery,1.92B
LEVI,Levi Strauss &amp; Co.,"Textiles, Apparel &amp; Luxury Goods",9.90B
LEVL,Level One Bancorp,Banks,287.51M
LEXX,Lexaria Bioscience,Biotechnology,29.15M
LFC,China Life Insurance Company,Insurance,108.69B
LFG,Archaea Energy,Utilities-Renewable,986.66M
LFMD,LifeMD,Pharmaceutical Retailers,122.07M
LFST,Lifestance Health Group,Medical Care Facilities,2.96B
LFT,Lument Finance Trust,REIT-Mortgage,94.80M
LFTR,Lefteris Acquisition,Blank Check / SPAC,254.21M
LFUS,Littelfuse,"Electronic Equipment, Instruments &amp; C...",7.38B
LFVN,LifeVantage,Personal Products,87.14M
LGAC,Lazard Growth Acquisition I,Blank Check / SPAC,703.66M
LGF.A,Lions Gate Entertainment,Entertainment,3.09B
LGF.B,Lions Gate Entertainment,Entertainment,3.07B
LGHL,Lion Group Holding,Asset Management,76.38M
LGIH,LGI Homes,Household Durables,3.56B
LGL,LGL Group,"Electronic Equipment, Instruments &amp; C...",62.46M
LGND,Ligand Pharmaceuticals,Biotechnology,2.58B
LGO,Largo,Other Industrial Metals &amp; Mining,606.29M
LGV,Longview Acquisition II,Blank Check / SPAC,854.74M
LGVN,Longeveron,Biotechnology,390.63M
LH,Laboratory Corporation of America Holdings,Health Care Providers &amp; Services,27.32B
LHAA,Lerer Hippeau Acquisition,Blank Check / SPAC,285.90M
LHC,Leo Holdings II,Blank Check / SPAC,458.44M
LHCG,LHC Group,Health Care Providers &amp; Services,3.49B
LHDX,Lucira Health,Medical Devices,250.65M
LHX,L3Harris Technologies,Aerospace &amp; Defense,40.68B
LI,Li Auto,Automobiles,36.25B
LIAN,LianBio,Biotechnology,1.26B
LICY,Li-Cycle Holdings,Waste Management,1.94B
LIDR,"AEye, Inc.",Auto Parts,893.56M
LIFE,aTyr Pharma,Biotechnology,224.83M
LII,Lennox International,Building Products,11.05B
LILA,Liberty Latin America,Diversified Telecommunication Services,2.55B
LILAK,Liberty Latin America,Media,2.55B
LILM,Lilium,Aerospace &amp; Defense,1.90B
LIN,Linde,Chemicals,163.14B
LINC,Lincoln Educational Services,Diversified Consumer Services,194.68M
LIND,Lindblad Expeditions Holdings,"Hotels, Restaurants &amp; Leisure",663.14M
LIQT,LiqTech International,Machinery,104.51M
LITB,LightInTheBox Holding Co.,Internet &amp; Direct Marketing Retail,145.73M
LITE,Lumentum Holdings,Communications Equipment,6.18B
LITM,Snow Lake Resources,Other Industrial Metals &amp; Mining,112.98M
LITT,Logistics Innovation Technologies,Shell Companies,413.39M
LIVE,Live Ventures,Household Durables,56.54M
LIVN,LivaNova,Health Care Equipment &amp; Supplies,4.29B
LIXT,Lixte Biotechnology Holdings,Biotechnology,21.17M
LIZI,Lizhi,Internet Content &amp; Information,101.72M
LJAQ,LightJump Acquisition,Blank Check / SPAC,171.27M
LJPC,La Jolla Pharmaceutical Company,Biotechnology,98.81M
LKCO,Luokung Technology,Interactive Media &amp; Services,325.65M
LKFN,Lakeland Financial,Banks,1.80B
LKQ,LKQ Corporation,Distributors,16.35B
LL,Lumber Liquidators Holdings,Specialty Retail,436.90M
LLL,JX Luxventure,Apparel Manufacturing,0
LLNW,Limelight Networks,IT Services,362.63M
LLY,Eli Lilly and Company,Pharmaceuticals,238.32B
LMACA,Liberty Media Acquisition,Blank Check / SPAC,736.72M
LMAO,LMF Acquisition Opportunities,Blank Check / SPAC,130.93M
LMAT,LeMaitre Vascular,Health Care Equipment &amp; Supplies,1.04B
LMB,Limbach Holdings,Construction &amp; Engineering,70.07M
LMDX,LumiraDx,Diagnostics &amp; Research,2.40B
LMFA,LM Funding America,Diversified Financial Services,67.22M
LMND,Lemonade,Insurance,2.78B
LMNL,Liminal BioSciences,Biotechnology,35.70M
LMNR,Limoneira Company,Food Products,263.34M
LMPX,LMP Automotive Holdings,Specialty Retail,107.34M
LMRK,Landmark Infrastructure Partners LP,Real Estate Management &amp; Development,414.20M
LMST,Limestone Bancorp,Banks,144.14M
LMT,Lockheed Martin,Aerospace &amp; Defense,90.57B
LNC,Lincoln National,Insurance,11.49B
LND,BrasilAgro Cia Brasileira de Propriedades Agricolas,Food Products,436.44M
LNDC,Landec,Food Products,255.43M
LNFA,L&amp;F Acquisition,Blank Check / SPAC,216.49M
LNG,Cheniere Energy,"Oil, Gas &amp; Consumable Fuels",25.81B
LNN,Lindsay,Machinery,1.56B
LNSR,LENSAR,Medical Devices,73.52M
LNT,Alliant Energy,Electric Utilities,13.86B
LNTH,Lantheus Holdings,Health Care Equipment &amp; Supplies,1.77B
LOAN,Manhattan Bridge Capital,"Mortgage Real Estate Investment 
Trus...",61.61M
LOB,Live Oak Bancshares,Banks,3.87B
LOCC,Live Oak Crestview Climate Acquisition,Blank Check / SPAC,249.00M
LOCL,Local Bounti,Shell Companies,202.81M
LOCO,El Pollo Loco Holdings,"Hotels, Restaurants &amp; Leisure",445.68M
LODE,Comstock Mining,Metals &amp; Mining,103.82M
LOGC,LogicBio Therapeutics,Biotechnology,98.87M
LOGI,Logitech International,"Technology Hardware, Storage &amp; Periph...",13.26B
LOKM,Live Oak Mobility Acquisition,Blank Check / SPAC,309.92M
LOMA,Loma Negra Compania Industrial Argentina,Construction Materials,1.50B
LOOP,Loop Industries,Chemicals,601.29M
LOPE,Grand Canyon Education,Diversified Consumer Services,2.81B
LOTZ,CarLotz,Auto &amp; Truck Dealerships,320.29M
LOV,Spark Networks SE,Interactive Media &amp; Services,83.94M
LOVE,The Lovesac Company,Household Durables,888.51M
LOW,Lowe's Companies,Specialty Retail,165.30B
LPCN,Lipocine,Pharmaceuticals,90.06M
LPG,Dorian LPG,"Oil, Gas &amp; Consumable Fuels",482.89M
LPI,Laredo Petroleum,"Oil, Gas &amp; Consumable Fuels",926.93M
LPL,LG Display Co.,"Electronic Equipment, Instruments &amp; C...",6.04B
LPLA,LPL Financial Holdings,Capital Markets,12.40B
LPRO,Open Lending,Capital Markets,2.76B
LPSN,LivePerson,Software,2.59B
LPTH,LightPath Technologies,"Electronic Equipment, Instruments &amp; C...",51.02M
LPTX,Leap Therapeutics,Biotechnology,224.33M
LPX,Louisiana-Pacific,Paper &amp; Forest Products,5.87B
LQDA,Liquidia,Pharmaceuticals,214.67M
LQDT,Liquidity Services,Internet &amp; Direct Marketing Retail,735.80M
LRCX,Lam Research,Semiconductors &amp; Semiconductor Equipment,97.65B
LRFC,Logan Ridge Finance,Asset Management,67.78M
LRMR,Larimar Therapeutics,Biotechnology,159.57M
LRN,Stride,Diversified Consumer Services,1.42B
LSBK,Lake Shore Bancorp,Thrifts &amp; Mortgage Finance,86.25M
LSCC,Lattice Semiconductor,Semiconductors &amp; Semiconductor Equipment,10.21B
LSEA,Landsea Homes,Real Estate-Development,344.79M
LSF,Laird Superfood,Packaged Foods,109.65M
LSI,Life Storage,"Equity Real Estate 
Investment Trusts...",10.98B
LSPD,Lightspeed Commerce,Software,6.97B
LSTR,Landstar System,Road &amp; Rail,6.42B
LTBR,Lightbridge,Professional Services,63.16M
LTC,LTC Properties,"Equity Real Estate 
Investment Trusts...",1.23B
LTCH,Latch,Software-Application,1.18B
LTH,Life Time Group Holdings,Leisure,3.69B
LTHM,Livent,Chemicals,4.60B
LTRN,Lantern Pharma,Biotechnology,90.29M
LTRPA,Liberty TripAdvisor Holdings,Interactive Media &amp; Services,227.45M
LTRPB,Liberty TripAdvisor Holdings,Interactive Media &amp; Services,256.72M
LTRX,Lantronix,Communications Equipment,239.39M
LTRY,Lottery.com,Gambling,328.48M
LU,Lufax Holding,Consumer Finance,15.04B
LUB,Luby's,"Hotels, Restaurants &amp; Leisure",88.09M
LUCD,Lucid Diagnostics,Medical Devices,282.32M
LULU,Lululemon Athletica,"Textiles, Apparel &amp; Luxury Goods",58.21B
LUMN,Lumen Technologies,Diversified Telecommunication Services,12.07B
LUMO,Lumos Pharma,Biotechnology,62.85M
LUNA,Luna Innovations,"Electronic Equipment, Instruments &amp; C...",262.45M
LUNG,Pulmonx,Health Care Equipment &amp; Supplies,1.13B
LUV,Southwest Airlines Company,Airlines,25.19B
LUXA,Lux Health Tech Acquisition,Blank Check / SPAC,425.21M
LVLU,Lulu's Fashion Lounge Holdings,Apparel Retail,482.27M
LVO,LiveOne,Entertainment,133.98M
LVOX,LiveVox Holding,Software-Infrastructure,448.96M
LVRA,Levere Holdings,Blank Check / SPAC,333.68M
LVS,Las Vegas Sands,"Hotels, Restaurants &amp; Leisure",25.96B
LVTX,LAVA Therapeutics,Biotechnology,179.91M
LW,Lamb Weston Holdings,Food Products,7.34B
LWAY,Lifeway Foods,Food Products,79.95M
LWLG,Lightwave Logic,Chemicals,1.46B
LX,LexinFintech Holdings,Consumer Finance,733.52M
LXEH,Lixiang Education Holding Co.,Education &amp; Training Services,127.73M
LXFR,Luxfer Holdings,Machinery,524.73M
LXP,Lexington Realty Trust,"Equity Real Estate 
Investment Trusts...",4.20B
LXRX,Lexicon Pharmaceuticals,Biotechnology,681.94M
LXU,LSB Industries,Chemicals,799.42M
LYB,LyondellBasell Industries NV,Chemicals,29.00B
LYEL,Lyell Immunopharma,Biotechnology,2.25B
LYFT,"Lyft, Inc.",Road &amp; Rail,13.02B
LYG,Lloyds Banking Group,Banks,44.06B
LYL,Dragon Victory International,Consumer Finance,24.50M
LYLT,Loyalty Ventures,Software-Infrastructure,701.17M
LYRA,Lyra Therapeutics,Biotechnology,69.44M
LYTS,LSI Industries,Electrical Equipment,191.67M
LYV,Live Nation Entertainment,Entertainment,23.10B
LZ,LegalZoom.com,Internet Content &amp; Information,3.46B
LZB,La-Z-Boy,Household Durables,1.45B
M,Macy's,Multiline Retail,8.13B
MA,Mastercard,IT Services,300.94B
MAA,Mid-America Apartment Communities,"Equity Real Estate 
Investment Trusts...",23.18B
MAC,The Macerich Company,"Equity Real Estate 
Investment Trusts...",3.74B
MACA,Moringa Acquisition,Blank Check / SPAC,261.64M
MACC,Mission Advancement,Blank Check / SPAC,420.90M
MACK,Merrimack Pharmaceuticals,Biotechnology,53.37M
MACQ,MCAP Acquisition,Blank Check / SPAC,392.94M
MACU,Mallard Acquisition,Blank Check / SPAC,137.36M
MAG,MAG Silver,Metals &amp; Mining,1.53B
MAIN,Main Street Capital,Capital Markets,3.07B
MAN,ManpowerGroup,Professional Services,4.83B
MANH,Manhattan Associates,Software,9.57B
MANT,ManTech International,IT Services,2.73B
MANU,Manchester United,Entertainment,2.42B
MAPS,WM Technology,Software-Application,444.64M
MAQC,Maquia Capital Acquisition,Blank Check / SPAC,225.28M
MAR,Marriott International,"Hotels, Restaurants &amp; Leisure",46.41B
MARA,Marathon Digital Holdings,IT Services,5.21B
MARK,Remark Holdings,Internet &amp; Direct Marketing Retail,126.19M
MARPS,Marine Petroleum Trust,"Oil, Gas &amp; Consumable Fuels",8.62M
MAS,Masco,Building Products,16.03B
MASI,Masimo,Health Care Equipment &amp; Supplies,15.19B
MASS,908 Devices,Medical Devices,745.20M
MAT,Mattel,Leisure Products,7.47B
MATW,Matthews International,Commercial Services &amp; Supplies,1.08B
MATX,Matson,Marine,3.31B
MAX,MediaAlpha,Internet Content &amp; Information,891.56M
MAXN,Maxeon Solar Technologies,Semiconductors &amp; Semiconductor Equipment,750.18M
MAXR,Maxar Technologies,Aerospace &amp; Defense,1.91B
MAYS,J.W. Mays,Real Estate Management &amp; Development,77.81M
MBAC,M3-Brigade Acquisition II,Blank Check / SPAC,496.50M
MBCN,Middlefield Banc,Banks,152.78M
MBI,MBIA Inc.,Insurance,614.25M
MBII,Marrone Bio Innovations,Chemicals,116.46M
MBIN,Merchants Bancorp,Thrifts &amp; Mortgage Finance,1.30B
MBIO,Mustang Bio,Biotechnology,174.71M
MBOT,Microbot Medical,Health Care Equipment &amp; Supplies,36.04M
MBRX,Moleculin Biotech,Biotechnology,62.58M
MBT,Mobile TeleSystems PJSC,Wireless Telecommunication Services,6.99B
MBTC,Nocturne Acquisition,Blank Check / SPAC,147.95M
MBUU,Malibu Boats,Leisure Products,1.46B
MBWM,Mercantile Bank,Banks,521.83M
MC,Moelis &amp; Company,Capital Markets,4.20B
MCAE,Mountain Crest Acquisition III,Blank Check / SPAC,69.31M
MCAF,Mountain Crest Acquisition IV,Blank Check / SPAC,74.37M
MCB,Metropolitan Bank Holding,Banks,1.01B
MCBC,Macatawa Bank,Banks,289.25M
MCBS,MetroCity Bankshares,Banks,698.00M
MCD,McDonald's,"Hotels, Restaurants &amp; Leisure",182.78B
MCF,Contango Oil &amp; Gas Company,"Oil, Gas &amp; Consumable Fuels",658.38M
MCFE,McAfee,Software,4.68B
MCFT,MasterCraft Boat Holdings,Leisure Products,528.02M
MCG,Membership Collective Group,Lodging,2.60B
MCHP,Microchip Technology,Semiconductors &amp; Semiconductor Equipment,46.87B
MCHX,Marchex,Media,105.96M
MCK,McKesson,Health Care Providers &amp; Services,32.89B
MCLD,mCloud Technologies,Software-Application,0
MCMJ,Merida Merger I,Shell Companies,149.82M
MCO,Moody's,Capital Markets,70.69B
MCRB,Seres Therapeutics,Biotechnology,986.44M
MCRI,Monarch Casino &amp; Resort,"Hotels, Restaurants &amp; Leisure",1.22B
MCS,The Marcus Corporation,Entertainment,522.51M
MCW,Mister Car Wash,Personal Services,4.76B
MCY,Mercury General,Insurance,2.84B
MD,MEDNAX,Health Care Providers &amp; Services,2.12B
MDB,MongoDB,IT Services,30.24B
MDC,M.D.C. Holdings,Household Durables,3.42B
MDGL,Madrigal Pharmaceuticals,Biotechnology,1.37B
MDGS,Medigus,Health Care Equipment &amp; Supplies,27.90M
MDH,MDH Acquisition,Blank Check / SPAC,340.52M
MDIA,Mediaco Holding,Broadcasting,41.31M
MDJH,MDJM Ltd.,Real Estate Management &amp; Development,35.03M
MDLZ,Mondelez International,Food Products,81.69B
MDNA,Medicenna Therapeutics,Biotechnology,97.16M
MDP,Meredith,Media,2.71B
MDRR,Medalist Diversified REIT,"Equity Real Estate 
Investment Trusts...",17.08M
MDRX,Allscripts Healthcare Solutions,Health Care Technology,2.01B
MDT,Medtronic plc.,Health Care Equipment &amp; Supplies,141.84B
MDU,MDU Resources Group,Multi-Utilities,5.57B
MDVL,MedAvail Holdings,Drug Manufacturers-Specialty &amp; Generic,52.56M
MDWD,MediWound,Pharmaceuticals,68.67M
MDWT,Midwest Holding,Insurance-Life,56.18M
MDXG,MiMedx Group,Biotechnology,776.04M
MDXH,MDxHealth,Diagnostics &amp; Research,145.68M
ME,23andMe Holding Co.,Diagnostics &amp; Research,3.30B
MEAC,Mercury Ecommerce Acquisition,Blank Check / SPAC,215.03M
MEC,Mayville Engineering Company,Metals &amp; Mining,296.74M
MED,Medifast,Personal Products,2.32B
MEDP,Medpace Holdings,Life Sciences Tools &amp; Services,7.51B
MEDS,TRxADE HEALTH,Pharmaceutical Retailers,25.48M
MEG,Montrose Environmental Group,Media (discontinued effective close o...,2.08B
MEI,Methode Electronics,"Electronic Equipment, Instruments &amp; C...",1.71B
MEIP,MEI Pharma,Biotechnology,340.98M
MEKA,MELI Kaszek Pioneer,Blank Check / SPAC,376.62M
MELI,MercadoLibre,Internet &amp; Direct Marketing Retail,55.72B
MEOA,Minority Equality Opportunities Acquisition,Blank Check / SPAC,135.98M
MEOH,Methanex,Chemicals,2.96B
MERC,Mercer International,Paper &amp; Forest Products,717.17M
MESA,Mesa Air Group,Airlines,241.19M
MESO,Mesoblast,Biotechnology,750.02M
MET,MetLife,Insurance,48.04B
METC,Ramaco Resources,Metals &amp; Mining,534.16M
METX,Meten Edtechx Education Group,Education &amp; Training Services,99.95M
MF,Missfresh,Grocery Stores,1.19B
MFA,MFA Financial,"Mortgage Real Estate Investment 
Trus...",1.87B
MFC,Manulife Financial,Insurance,34.93B
MFG,Mizuho Financial Group,Banks,31.62B
MFGP,Micro Focus International,Software,1.55B
MFH,Mercurity Fintech Holding,Software,35.31M
MFIN,Medallion Financial,Consumer Finance,192.10M
MG,MISTRAS Group,Professional Services,230.07M
MGA,Magna International,Auto Components,22.62B
MGEE,MGE Energy,Electric Utilities,2.64B
MGI,MoneyGram International,IT Services,549.21M
MGIC,Magic Software Enterprises,Software,1.02B
MGLN,Magellan Health,Health Care Providers &amp; Services,2.48B
MGM,MGM Resorts International,"Hotels, Restaurants &amp; Leisure",18.56B
MGNI,Magnite,Internet &amp; Direct Marketing Retail,2.22B
MGNX,MacroGenics,Biotechnology,1.02B
MGP,MGM Growth Properties LLC,"Equity Real Estate 
Investment Trusts...",5.67B
MGPI,MGP Ingredients,Beverages,1.85B
MGRC,McGrath RentCorp,Commercial Services &amp; Supplies,1.90B
MGTA,Magenta Therapeutics,Biotechnology,323.28M
MGTX,MeiraGTx Holdings,Biotechnology,784.96M
MGY,Magnolia Oil &amp; Gas,"Oil, Gas &amp; Consumable Fuels",3.30B
MGYR,Magyar Bancorp,Thrifts &amp; Mortgage Finance,85.39M
MHH,Mastech Digital,Professional Services,194.45M
MHK,Mohawk Industries,Household Durables,11.20B
MHLD,Maiden Holdings,Insurance,261.06M
MHO,M/I Homes,Household Durables,1.64B
MIC,Macquarie Infrastructure,Transportation Infrastructure,323.54M
MICT,"MICT, Inc.",Aerospace &amp; Defense,128.56M
MIDD,The Middleby Corporation,Machinery,9.57B
MIGI,Mawson Infrastructure Group,Information Technology Services,663.10M
MILE,Metromile,Insurance-Property &amp; Casualty,295.08M
MIME,Mimecast,Software,5.07B
MIMO,Airspan Networks Holdings,Telecom Services,341.32M
MIND,MIND Technology,Energy Equipment &amp; Services,21.21M
MINM,Minim,Communication Equipment,60.53M
MIR,Mirion Technologies,Specialty Industrial Machinery,70.25M
MIRM,Mirum Pharmaceuticals,Biotechnology,421.58M
MIRO,Miromatrix Medical,Biotechnology,145.83M
MIST,Milestone Pharmaceuticals,Pharmaceuticals,167.88M
MIT,Mason Industrial Technology,Blank Check / SPAC,610.00M
MITA,Coliseum Acquisition,Blank Check / SPAC,183.37M
MITC,MeaTech 3D,Packaged Foods,84.53M
MITK,Mitek Systems,Software,743.67M
MITO,Stealth BioTherapeutics,Biotechnology,46.15M
MITQ,Moving iMage Technologies,n/a,20.00M
MITT,AG Mortgage Investment Trust,"Mortgage Real Estate Investment 
Trus...",236.58M
MIXT,MiX Telematics,Software,287.94M
MKC,McCormick &amp; Company,Food Products,23.15B
MKD,Molecular Data,Chemicals,45.13M
MKFG,Markforged Holding,Computer Hardware,1.25B
MKL,Markel,Insurance,16.33B
MKSI,MKS Instruments,Semiconductors &amp; Semiconductor Equipment,8.59B
MKTW,MarketWise,Software-Application,164.25M
MKTX,MarketAxess Holdings,Capital Markets,13.07B
ML,MoneyLion,Software-Application,900.19M
MLAB,Mesa Laboratories,Health Care Equipment &amp; Supplies,1.62B
MLAC,Malacca Straits Acquisition Company,Blank Check / SPAC,178.97M
MLCO,Melco Resorts &amp; Entertainment,"Hotels, Restaurants &amp; Leisure",4.37B
MLI,Mueller Industries,Machinery,3.17B
MLKN,MillerKnoll,"Furnishings, Fixtures &amp; Appliances",2.82B
MLM,Martin Marietta Materials,Construction Materials,25.03B
MLNK,MeridianLink,Software-Application,1.71B
MLP,Maui Land &amp; Pineapple Company,Real Estate Management &amp; Development,195.74M
MLR,Miller Industries,Machinery,376.67M
MLSS,Milestone Scientific,Health Care Equipment &amp; Supplies,139.76M
MLVF,Malvern Bancorp,Banks,123.86M
MMAT,Meta Materials,Electronic Components,945.03M
MMC,Marsh &amp; McLennan Companies,Insurance,82.67B
MMI,Marcus &amp; Millichap,Real Estate Management &amp; Development,1.71B
MMLP,Martin Midstream Partners,"Oil, Gas &amp; Consumable Fuels",111.36M
MMM,3M Company,Industrial Conglomerates,98.38B
MMMB,MamaMancini's Holdings,Food Products,75.38M
MMP,"Magellan Midstream Partners,","Oil, Gas &amp; Consumable Fuels",9.76B
MMS,Maximus,IT Services,4.67B
MMSI,Merit Medical Systems,Health Care Equipment &amp; Supplies,3.55B
MMX,Maverix Metals,Metals &amp; Mining,653.56M
MMYT,MakeMyTrip,Internet &amp; Direct Marketing Retail,2.61B
MN,Manning &amp; Napier,Capital Markets,156.03M
MNDO,MIND CTI,Software,60.16M
MNDT,Mandiant,Software,4.01B
MNDY,monday.com,Software-Application,13.89B
MNKD,MannKind,Biotechnology,1.09B
MNMD,Mind Medicine (MindMed),Biotechnology,839.62M
MNOV,MediciNova,Biotechnology,148.60M
MNPR,Monopar Therapeutics,Biotechnology,55.15M
MNR,Monmouth Real Estate Investment,"Equity Real Estate 
Investment Trusts...",2.05B
MNRL,Brigham Minerals,"Oil, Gas &amp; Consumable Fuels",889.07M
MNRO,Monro,Specialty Retail,1.85B
MNSB,MainStreet Bancshares,Banks,178.48M
MNSO,Miniso Group Holding,Specialty Retail,4.08B
MNST,Monster Beverage,Beverages,42.89B
MNTK,Montauk Renewables,Utilities-Diversified,1.35B
MNTS,Momentus,Aerospace &amp; Defense,477.84M
MNTV,Momentive Global,Software,2.98B
MNTX,Manitex International,Machinery,135.76M
MO,Altria Group,Tobacco,78.97B
MOD,Modine Manufacturing Company,Auto Components,535.65M
MODN,Model N,Software,967.54M
MODV,ModivCare,Health Care Providers &amp; Services,1.90B
MOFG,MidWestOne Financial Group,Banks,486.13M
MOG.A,Moog Inc.,Aerospace &amp; Defense,2.23B
MOG.B,Moog Inc.,Aerospace &amp; Defense,2.23B
MOGO,Mogo Inc.,Consumer Finance,347.06M
MOGU,"Mogu, Inc.",Internet &amp; Direct Marketing Retail,68.00M
MOH,Molina Healthcare,Health Care Providers &amp; Services,16.49B
MOHO,ECMOHO,Internet &amp; Direct Marketing Retail,23.10M
MOLN,Molecular Partners AG,Biotechnology,438.06M
MOMO,Hello Group,Interactive Media &amp; Services,2.08B
MON,Monument Circle Acquisition,Blank Check / SPAC,306.25M
MOR,MorphoSys AG,Biotechnology,1.35B
MORF,Morphic Holding,Biotechnology,1.67B
MORN,Morningstar,Capital Markets,13.41B
MOS,The Mosaic Company,Chemicals,12.45B
MOSY,MoSys,Semiconductors &amp; Semiconductor Equipment,32.29M
MOTS,Motus GI Holdings,Health Care Equipment &amp; Supplies,21.83M
MOTV,Motive Capital,Blank Check / SPAC,513.36M
MOV,Movado Group,"Textiles, Apparel &amp; Luxury Goods",977.30M
MOVE,Movano,Internet Software &amp; Services (discont...,117.98M
MOXC,Moxian,Internet &amp; Direct Marketing Retail,75.05M
MP,MP Materials,Metals &amp; Mining,7.61B
MPAA,Motorcar Parts of America,Auto Components,307.85M
MPAC,Model Performance Acquisition,Blank Check / SPAC,69.77M
MPB,Mid Penn Bancorp,Banks,355.70M
MPC,Marathon Petroleum,"Oil, Gas &amp; Consumable Fuels",37.50B
MPLN,MultiPlan,Healthcare Plans,2.53B
MPLX,MPLX LP,"Oil, Gas &amp; Consumable Fuels",29.31B
MPW,Medical Properties Trust,"Equity Real Estate 
Investment Trusts...",12.37B
MPWR,Monolithic Power Systems,Semiconductors &amp; Semiconductor Equipment,25.59B
MPX,Marine Products,Leisure Products,405.53M
MQ,Marqeta,Software-Infrastructure,10.01B
MRAI,Marpai,Healthcare Plans,80.19M
MRAM,Everspin Technologies,Semiconductors &amp; Semiconductor Equipment,226.87M
MRBK,Meridian,Banks,209.92M
MRC,MRC Global,Trading Companies &amp; Distributors,561.30M
MRCC,Monroe Capital,Capital Markets,246.46M
MRCY,Mercury Systems,Aerospace &amp; Defense,2.72B
MREO,Mereo BioPharma Group,Biotechnology,182.96M
MRIN,Marin Software,Software,73.90M
MRK,Merck &amp; Co.,Pharmaceuticals,188.03B
MRKR,Marker Therapeutics,Biotechnology,97.20M
MRLN,Marlin Business Services,Diversified Financial Services,275.52M
MRM,Medirom Healthcare Technologies,Personal Services,29.88M
MRNA,Moderna,Biotechnology,125.94B
MRNS,Marinus Pharmaceuticals,Pharmaceuticals,387.94M
MRO,Marathon Oil,"Oil, Gas &amp; Consumable Fuels",11.77B
MRSN,Mersana Therapeutics,Biotechnology,462.39M
MRTN,Marten Transport,Road &amp; Rail,1.33B
MRTX,Mirati Therapeutics,Biotechnology,7.30B
MRUS,Merus,Biotechnology,1.07B
MRVI,Maravai LifeSciences Holdings,Biotechnology,5.71B
MRVL,Marvell Technology,Semiconductors &amp; Semiconductor Equipment,58.44B
MS,Morgan Stanley,Capital Markets,170.94B
MSA,MSA Safety,Commercial Services &amp; Supplies,5.54B
MSAC,Medicus Sciences Acquisition,Blank Check / SPAC,112.67M
MSB,Mesabi Trust,Metals &amp; Mining,302.68M
MSBI,Midland States Bancorp,Banks,524.87M
MSC,Studio City International Holdings,"Hotels, Restaurants &amp; Leisure",781.10M
MSCI,MSCI Inc.,Capital Markets,51.90B
MSDA,MSD Acquisition,Blank Check / SPAC,711.92M
MSEX,Middlesex Water Company,Water Utilities,1.77B
MSFT,Microsoft,Software,"2,482.06B"
