Symbol,Company Name,Industry,Market Cap
AIT,Applied Industrial Technologies,Trading Companies &amp; Distributors,3.60B
AIV,Apartment Investment &amp; Management Company,"Equity Real Estate 
Investment Trusts...",1.10B
AIZ,Assurant,Insurance,8.50B
AJG,Arthur J. Gallagher &amp; Company,Insurance,33.65B
AJRD,Aerojet Rocketdyne Holdings,Aerospace &amp; Defense,3.42B
AJX,Great Ajax,"Mortgage Real Estate Investment 
Trus...",290.68M
AKA,a.k.a. Brands Holding,Internet Retail,1.49B
AKAM,Akamai Technologies,IT Services,17.72B
AKBA,Akebia Therapeutics,Biotechnology,449.65M
AKIC,Sports Ventures Acquisition,Blank Check / SPAC,287.04M
AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1.77B
AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1.85B
AKR,Acadia Realty Trust,"Equity Real Estate 
Investment Trusts...",1.76B
AKRO,Akero Therapeutics,Biotechnology,704.05M
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments &amp; C...",348.18M
AKTX,Akari Therapeutics,Pharmaceuticals,79.01M
AKU,Akumin,Diagnostics &amp; Research,131.76M
AKUS,Akouos,Biotechnology,270.09M
AKYA,Akoya Biosciences,Medical Instruments &amp; Supplies,488.91M
AL,Air Lease,Trading Companies &amp; Distributors,4.63B
ALAC,Alberton Acquisition,Blank Check / SPAC,52.01M
ALB,Albemarle,Chemicals,30.40B
ALBO,Albireo Pharma,Biotechnology,443.02M
ALC,Alcon,Medical Instruments &amp; Supplies,38.59B
ALCC,AltC Acquisition,Blank Check / SPAC,631.83M
ALCO,Alico,Food Products,258.52M
ALDX,Aldeyra Therapeutics,Biotechnology,428.72M
ALE,ALLETE,Electric Utilities,3.09B
ALEC,Alector,Biotechnology,1.63B
ALEX,Alexander &amp; Baldwin,"Equity Real Estate 
Investment Trusts...",1.57B
ALF,"ALFI, Inc.",Software-Infrastructure,50.63M
ALG,Alamo Group,Machinery,1.67B
ALGM,Allegro MicroSystems,Semiconductors &amp; Semiconductor Equipment,5.98B
ALGN,Align Technology,Health Care Equipment &amp; Supplies,47.49B
ALGS,Aligos Therapeutics,Biotechnology,571.27M
ALGT,Allegiant Travel Company,Airlines,2.96B
ALHC,Alignment Healthcare,Health Care Providers &amp; Services,2.84B
ALIM,Alimera Sciences,Pharmaceuticals,34.90M
ALIT,Alight,Software-Application,4.57B
ALJJ,ALJ Regional Holdings,IT Services,50.79M
ALK,Alaska Air Group,Airlines,5.80B
ALKS,Alkermes,Biotechnology,3.47B
ALKT,Alkami Technology,Software-Application,2.36B
ALL,The Allstate Corporation,Insurance,30.71B
ALLE,Allegion,Building Products,11.01B
ALLK,Allakos,Biotechnology,4.32B
ALLO,Allogene Therapeutics,Biotechnology,2.60B
ALLT,Allot,Software,400.83M
ALLY,Ally Financial,Consumer Finance,15.58B
ALNA,Allena Pharmaceuticals,Biotechnology,52.50M
ALNY,Alnylam Pharmaceuticals,Biotechnology,21.52B
ALOT,AstroNova,"Technology Hardware, Storage &amp; Periph...",120.85M
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,186.48M
ALPN,Alpine Immune Sciences,Biotechnology,318.50M
ALPP,Alpine 4 Holdings,Metal Fabrication,418.83M
ALRM,Alarm.com Holdings,Software,3.95B
ALRN,Aileron Therapeutics,Biotechnology,51.33M
ALRS,Alerus Financial,Diversified Financial Services,537.24M
ALSN,Allison Transmission Holdings,Machinery,3.64B
ALT,Altimmune,Biotechnology,391.43M
ALTG,Alta Equipment Group,Trading Companies &amp; Distributors,443.70M
ALTM,Altus Midstream Company,"Oil, Gas &amp; Consumable Fuels",232.77M
ALTO,Alto Ingredients,"Oil, Gas &amp; Consumable Fuels",361.82M
ALTR,Altair Engineering,Software,5.67B
ALTU,Altitude Acquisition,Blank Check / SPAC,370.50M
ALV,Autoliv,Auto Components,8.43B
ALVR,AlloVir,Biotechnology,1.13B
ALX,Alexander's,"Equity Real Estate 
Investment Trusts...",1.30B
ALXO,ALX Oncology Holdings,Biotechnology,1.24B
ALYA,Alithya Group,IT Services,200.45M
ALZN,Alzamend Neuro,Biotechnology,169.43M
AM,Antero Midstream,"Oil, Gas &amp; Consumable Fuels",4.55B
AMAL,Amalgamated Financial,Banks,524.60M
AMAM,Ambrx Biopharma,Biotechnology,339.90M
AMAO,American Acquisition Opportunity,Blank Check / SPAC,134.54M
AMAT,Applied Materials,Semiconductors &amp; Semiconductor Equipment,136.95B
AMBA,Ambarella,Semiconductors &amp; Semiconductor Equipment,7.51B
AMBC,Ambac Financial Group,Insurance,676.04M
AMBO,Ambow Education Holding,Diversified Consumer Services,27.19M
AMBP,Ardagh Metal Packaging,Packaging &amp; Containers,5.84B
AMC,AMC Entertainment Holdings,Entertainment,14.67B
AMCI,AMCI Acquisition II,Blank Check / SPAC,182.06M
AMCR,Amcor,Containers &amp; Packaging,17.26B
AMCX,AMC Networks,Media,1.50B
AMD,Advanced Micro Devices,Semiconductors &amp; Semiconductor Equipment,180.07B
AME,AMETEK,Electrical Equipment,31.41B
AMED,Amedisys,Health Care Providers &amp; Services,4.46B
AMEH,Apollo Medical Holdings,Health Care Providers &amp; Services,4.74B
AMG,Affiliated Managers Group,Capital Markets,6.92B
AMGN,Amgen,Biotechnology,113.10B
AMH,American Homes 4 Rent,"Equity Real Estate 
Investment Trusts...",13.27B
AMK,AssetMark Financial Holdings,Capital Markets,1.84B
AMKR,Amkor Technology,Semiconductors &amp; Semiconductor Equipment,5.39B
AMN,AMN Healthcare Services,Health Care Providers &amp; Services,5.27B
AMNB,American National Bankshares,Banks,399.67M
AMOT,Allied Motion Technologies,Electrical Equipment,598.03M
AMOV,America Movil,Wireless Telecommunication Services,58.19B
AMP,Ameriprise Financial,Capital Markets,31.88B
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,222.34M
AMPG,AmpliTech Group,Communication Equipment,32.50M
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,950.28M
AMPI,Advanced Merger Partners,Blank Check / SPAC,351.47M
AMPL,Amplitude,Software-Application,6.74B
AMPY,Amplify Energy,Oil &amp; Gas E&amp;P,112.55M
AMR,Alpha Metallurgical Resources,"Oil, Gas &amp; Consumable Fuels",825.99M
AMRC,Ameresco,Construction &amp; Engineering,4.53B
AMRK,A-Mark Precious Metals,Diversified Financial Services,756.73M
AMRN,Amarin,Biotechnology,1.47B
AMRS,Amyris,Chemicals,1.90B
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,612.42M
AMS,American Shared Hospital Services,Health Care Providers &amp; Services,14.73M
AMSC,American Superconductor,Electrical Equipment,346.14M
AMSF,AMERISAFE,Insurance,1.02B
AMST,Amesite,Software-Application,25.72M
AMSWA,American Software,Software,751.98M
AMT,American Tower,"Equity Real Estate 
Investment Trusts...",117.93B
AMTB,Amerant Bancorp,Banks,1.06B
AMTI,Applied Molecular Transport,Biotechnology,629.30M
AMTX,Aemetis,"Oil, Gas &amp; Consumable Fuels",564.93M
AMWD,American Woodmark,Building Products,1.03B
AMWL,American Well,Health Information Services,1.62B
AMX,America Movil,Wireless Telecommunication Services,58.38B
AMYT,Amryt Pharma,Drug Manufacturers-Specialty &amp; Generic,618.83M
AMZN,Amazon.com,Internet &amp; Direct Marketing Retail,"1,746.48B"
AN,AutoNation,Specialty Retail,8.04B
ANAB,AnaptysBio,Biotechnology,858.80M
ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,387.41M
ANAT,American National Group,Insurance,5.09B
ANDE,The Andersons,Food &amp; Staples Retailing,1.10B
ANEB,Anebulo Pharmaceuticals,Biotechnology,140.07M
ANET,Arista Networks,Communications Equipment,37.30B
ANF,Abercrombie &amp; Fitch Company,Specialty Retail,1.98B
ANGI,Angi Inc.,Interactive Media &amp; Services,4.79B
ANGN,Angion Biomedica,Biotechnology,101.55M
ANGO,AngioDynamics,Health Care Equipment &amp; Supplies,985.20M
ANIK,Anika Therapeutics,Biotechnology,556.25M
ANIP,ANI Pharmaceuticals,Pharmaceuticals,576.20M
ANIX,Anixa Biosciences,Biotechnology,103.03M
ANNX,Annexon,Biotechnology,629.35M
ANPC,AnPac Bio-Medical Science Co.,Biotechnology,29.31M
ANSS,ANSYS,Software,33.17B
ANTE,AirNet Technology,Media,37.90M
ANTM,Anthem,Health Care Providers &amp; Services,98.21B
ANVS,Annovis Bio,Biotechnology,174.97M
ANY,Sphere 3D,Software,258.17M
ANZU,Anzu Special Acquisition I,Blank Check / SPAC,519.03M
AOMR,Angel Oak Mortgage,REIT-Mortgage,417.72M
AON,Aon plc,Insurance,64.14B
AOS,A. O. Smith,Building Products,12.65B
AOSL,Alpha &amp; Omega Semiconductor,Semiconductors &amp; Semiconductor Equipment,1.34B
AOUT,American Outdoor Brands,Leisure Products,324.82M
AP,Ampco-Pittsburgh,Metals &amp; Mining,95.47M
APA,APA Corporation,"Oil, Gas &amp; Consumable Fuels",9.17B
APAC,Stonebridge Acquisition,Blank Check / SPAC,247.87M
APAM,Artisan Partners Asset Management,Capital Markets,3.54B
APD,Air Products &amp; Chemicals,Chemicals,63.10B
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments &amp; C...",40.72M
APEI,American Public Education,Diversified Consumer Services,368.76M
APEN,Apollo Endosurgery,Health Care Equipment &amp; Supplies,319.89M
APG,APi Group,Construction &amp; Engineering,5.13B
APGB,Apollo Strategic Growth Capital II,Blank Check / SPAC,846.11M
APH,Amphenol,"Electronic Equipment, Instruments &amp; C...",47.84B
API,Agora,"Electronic Equipment, Instruments &amp; C...",2.19B
APLE,Apple Hospitality REIT,"Equity Real Estate 
Investment Trusts...",3.34B
APLS,Apellis Pharmaceuticals,Biotechnology,4.23B
APLT,Applied Therapeutics,Biotechnology,278.15M
APM,Aptorum Group,Biotechnology,64.84M
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,184.50M
APO,Apollo Global Management,Capital Markets,30.58B
APOG,Apogee Enterprises,Building Products,1.07B
APP,AppLovin,Software-Application,32.23B
APPF,AppFolio,Software,4.01B
APPH,AppHarvest,Farm Products,473.28M
APPN,Appian,Software,4.85B
APPS,Digital Turbine,Software,4.79B
APR,Apria,Medical Instruments &amp; Supplies,1.01B
APRE,Aprea Therapeutics,Biotechnology,82.00M
APRN,Blue Apron Holdings,Internet &amp; Direct Marketing Retail,333.20M
APSG,Apollo Strategic Growth Capital,Shell Companies,1.00B
APT,Alpha Pro Tech,Building Products,82.83M
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,312.17M
APTO,Aptose Biosciences,Biotechnology,184.12M
APTS,Preferred Apartment Communities,"Equity Real Estate 
Investment Trusts...",681.95M
APTV,Aptiv,Auto Components,43.28B
APTX,Aptinyx,Biotechnology,142.88M
APVO,Aptevo Therapeutics,Biotechnology,38.84M
APWC,Asia Pacific Wire &amp; Cable,Electrical Equipment,34.96M
APYX,Apyx Medical,Health Care Equipment &amp; Supplies,450.93M
AQB,AquaBounty Technologies,Biotechnology,174.01M
AQMS,Aqua Metals,Commercial Services &amp; Supplies,100.56M
AQN,Algonquin Power &amp; Utilities,Multi-Utilities,9.06B
AQST,Aquestive Therapeutics,Pharmaceuticals,228.53M
AQUA,Evoqua Water Technologies,Machinery,5.27B
AR,Antero Resources,"Oil, Gas &amp; Consumable Fuels",4.97B
ARAV,Aravive,Biotechnology,64.39M
ARAY,Accuray,Health Care Equipment &amp; Supplies,437.32M
ARBE,Arbe Robotics,Software-Infrastructure,637.51M
